Name,Rating,Difficulty,Players,Time,Year,Genre
Arcs,7.43698,3.0455,4,90,2024,4X
Canvas,7.26788,1.6713,5,30,2021,Abstract
Castles by the Sea,7.05233,2.1429,4,60,2023,Abstract
Hanafuda,6.84677,1.7105,2,60,2023,Abstract
Champions of Hara,7.21816,3.1429,4,120,2018,Adventure
Crisis at Steamfall,6.35869,3.75,4,120,2019,Adventure
EOS: Island of Angels,7.75526,3.3125,5,120,2023,Adventure
Sea of Legends,7.3988,2.8571,5,160,2021,Adventure
Tales of the Arabian Nights,7.16438,2.1469,6,120,2012,Adventure
Talisman: Legendary Tales,6.43056,1.25,6,40,2018,Adventure
The Witcher Adventure Game,6.34001,2.459,4,120,2014,Adventure
The Witcher: Old World,8.03946,2.8445,5,150,2023,Adventure
The Witches,6.16689,1.6639,4,90,2013,Adventure
A War of Whispers,7.32712,2.5752,4,60,2019,Area Control
Android: Mainframe,6.56726,1.8372,4,30,2016,Area Control
Ankh: Gods of Egypt,7.81221,3.1148,5,90,2021,Area Control
Battle for Rokugan,7.40829,2.7583,5,90,2017,Area Control
Blood Rage,7.93271,2.8785,4,90,2015,Area Control
Cerebria: The Inside World,7.75135,4.3373,4,120,2018,Area Control
Forbidden Stars,7.97586,3.8418,4,180,2015,Area Control
Moa,6.39121,2.6154,5,60,2018,Area Control
Oath: Chronicles of Empire & Exile,7.80344,4.1058,6,150,2021,Area Control
Quantum,7.23823,2.4742,4,60,2013,Area Control
Rising Sun,7.77674,3.3017,5,120,2018,Area Control
Root,8.07503,3.7986,4,90,2018,Area Control
Starship Samurai,7.02474,2.5263,4,90,2018,Area Control
Tsukuyumi: Full Moon Down,7.85631,3.8214,5,180,2018,Area Control
Vampire: The Masquerade – Vendetta,7.25464,2.7143,6,30,2020,Area Control
Wonderland's War,8.1264,3.0265,5,125,2022,Area Control
Yamatai,7.19333,2.9659,4,80,2017,Area Control
Ahoy,7.38829,2.8909,4,75,2022,Asymetrical
Vast: The Crystal Caverns,7.11203,3.6514,5,150,2016,Asymmetrical
Vast: The Mysterious Manor,7.48461,3.7407,5,120,2019,Asymmetrical
Colosseum,7.20687,2.7553,5,90,2007,Auction
Gladius,6.97436,1.6667,5,30,2021,Auction
Cockroach Poker,6.79425,1.1047,6,20,2004,Bluffing
Coup,6.98284,1.41,6,15,2012,Bluffing
GoodCritters,7.02505,1.4545,8,45,2018,Bluffing
1001 Odysseys,4.79412,1.0,5,60,2024,Cooperative
Diceborn Heroes,6.51086,2.5385,4,90,2019,Cooperative
Fog of Love,6.6741,2.2391,2,120,2017,Cooperative
Ghost Stories,7.27069,2.9057,4,60,2015,Cooperative
Ironclad,6.86048,3.1667,3,90,2018,Cooperative
Kingdom Death: Monster,8.50158,4.2621,4,180,2015,Cooperative
Kradia: Wild Hunt Festival,7.05805,2.0,4,90,2019,Cooperative
Samurai Spirit,6.60262,2.1282,7,30,2014,Cooperative
Talisman: Kingdom Hearts,6.5673,2.625,6,90,2019,Cooperative
The 7th Continent,7.82076,2.9028,4,1000,2017,Cooperative
This War of Mine: The Board Game,7.77661,3.3151,6,120,2017,Cooperative
Too Many Bones,8.34653,3.8539,4,120,2017,Cooperative
Too Many Bones: Unbreakable,8.8602,3.7,4,180,2023,Cooperative
Too Many Bones: Undertow,8.68614,4.0081,2,180,2018,Cooperative
Townsfolk Tussle,7.64186,2.6486,5,200,2022,Cooperative
Trogdor!!: The Board Game,6.89651,1.8621,6,60,2019,Cooperative
Uprising: Curse of the Last Emperor,8.42673,3.7105,4,240,2021,Cooperative
Wayward,6.68022,2.6667,5,60,2019,Cooperative
Carthage,7.42659,2.0833,5,75,2018,Deck Builder
Fort,7.12102,2.4346,4,40,2020,Deck Builder
Grifters: Nexus,6.85125,2.0,4,30,2018,Deck Builder
Hand of Fate: Ordeals,7.19716,3.0,4,120,2018,Deck Builder
Robot Quest Arena,7.81184,2.0588,4,60,2023,Deck Builder
The Taverns of Tiefenthal,7.58008,2.6792,4,60,2019,Deck Builder
Cryptid,7.44973,2.2446,5,50,2018,Deduction
Mind MGMT: The Psychic Espionage “Game.”,7.95154,2.8957,5,60,2021,Deduction
Secret Hitler,7.51276,1.743,10,45,2016,Deduction
Specter Ops: Broken Covenant,7.55014,2.4,5,120,2018,Deduction
The Resistance: Avalon,7.51744,1.7373,10,30,2012,Deduction
Tragedy Looper,7.18334,3.5539,4,120,2014,Deduction
Dutch Blitz,6.75169,1.25,4,15,2005,Dexterity
Kabuto Sumo,6.77123,1.2041,4,15,2021,Dexterity
Slap .45,6.28753,1.3333,7,20,2015,Dexterity
Bargain Quest,6.84963,2.0,6,60,2017,Drafting
Capital Lux,6.99923,1.9677,4,30,2016,Drafting
Fairy Tale,6.70839,1.7678,5,30,2014,Drafting
Maid Knight Saga: The Story of Faltisia,6.89,2.0,6,90,2019,Drafting
Roll Player,7.45293,2.4324,4,90,2016,Drafting
Arcadia Quest,7.61093,2.5343,4,60,2014,Dungeon Crawl
Arcadia Quest: Inferno,7.87861,2.44,4,120,2017,Dungeon Crawl
Bloodborne: The Board Game,7.79536,3.0534,4,75,2021,Dungeon Crawl
Burncycle,7.98103,4.0114,4,180,2022,Dungeon Crawl
Dungeonology: The Expedition,6.7136,3.1724,4,105,2019,Dungeon Crawl
Epic Seven Arise: The Boardgame,5.9537,2.5,4,90,2023,Dungeon Crawl
Mage Knight Board Game,8.08566,4.3611,4,240,2011,Dungeon Crawl
Masmorra: Dungeons of Arcadia,7.03161,2.2444,5,90,2017,Dungeon Crawl
Mice and Mystics,7.2347,2.7262,4,90,2012,Dungeon Crawl
Tidal Blades 2: Rise of the Unfolders,8.2434,3.0,4,120,2024,Dungeon Crawl
Ashes Reborn: Rise of the Phoenixborn,7.2943,2.8984,4,120,2015,Fighting
BattleCON: Devastation of Indines,7.82853,3.1104,5,45,2013,Fighting
Dragon Punch,6.0284,1.4,2,10,2016,Fighting
Epic Card Game,6.41336,2.5109,4,40,2015,Fighting
Exceed: BlazBlue – Hazama Box,8.32258,3.0,2,20,2021,Fighting
Exceed: Seventh Cross – Church vs. Empire Box,7.87778,3.0,2,30,2018,Fighting
Exceed: Street Fighter – Chun-Li Box,8.37132,3.0,2,25,2019,Fighting
Grimslingers,6.22688,2.7391,6,90,2016,Fighting
Sakura Arms,7.58472,3.125,2,30,2016,Fighting
Skulk Hollow,7.24995,2.1818,2,40,2019,Fighting
Spire's End,7.66085,2.1053,2,120,2019,Fighting
Spire's End: Hildegard,7.62671,1.7619,2,180,2022,Fighting
Exploding Kittens,6.06028,1.0854,5,15,2015,Hand Management
Final Girl,8.32749,2.6567,1,60,2021,Hand Management
Hidden Leaders,6.83231,1.7639,6,40,2022,Hand Management
Libertalia: Winds of Galecrest,7.47859,2.1277,6,60,2022,Hand Management
Millennium Blades,7.66489,3.6541,5,120,2016,Hand Management
Space Lion: Divide and Conquer,7.96,2.0,5,60,2024,Hand Management
Excavation Earth,7.19346,3.7889,4,120,2021,Market Manipulation
Captive,6.75889,1.1667,1,130,2014,Narrative
Loup Garou,6.84095,1.1429,1,130,2015,Narrative
Sherlock Holmes: Four Investigations,6.91606,1.4286,1,60,2014,Narrative
Tears of a Goddess,6.49053,1.1667,1,130,2015,Narrative
Witchbound,8.55,1.0,2,90,2024,Narrative
Your Town,6.29433,1.5,1,150,2016,Narrative
Almost Words,7.34531,1.0,8,90,2023,Party
Monikers,7.78945,1.08,16,60,2015,Party
Broom Service,7.16861,2.4038,5,75,2015,Pick Up & Deliver
Empyreal: Spells & Steam,7.50959,2.825,6,75,2020,Pick Up & Deliver
Merchants of the Dark Road,7.38657,3.2108,4,120,2022,Pick Up & Deliver
Septima,7.50564,3.6241,4,100,2023,Pick Up & Deliver
Xia: Legends of a Drift System,7.86158,3.1811,5,180,2014,Pick Up & Deliver
20 Strong,7.61583,2.4146,1,40,2023,Push Your Luck
D6 Shooter,6.61277,1.2,4,60,2016,Push Your Luck
Dragonscales,7.0168,2.0,5,60,2019,Push Your Luck
Dungeon Roll,6.08795,1.3284,4,30,2013,Push Your Luck
Elder Sign,6.97061,2.342,8,90,2011,Push Your Luck
One Deck Dungeon,6.95492,2.0709,2,45,2016,Push Your Luck
One Deck Dungeon: Forest of Shadows,7.11109,2.3276,2,45,2017,Push Your Luck
The Quacks of Quedlinburg,7.82823,1.9486,4,45,2018,Push Your Luck
Tiny Epic Galaxies,7.33669,2.1481,5,45,2015,Push Your Luck
Unbroken,6.1733,1.7851,1,30,2018,Push Your Luck
Welcome Back to the Dungeon,6.71251,1.3231,4,30,2016,Push Your Luck
Welcome to the Dungeon,6.54116,1.2289,4,30,2015,Push Your Luck
Bullet♥,7.65187,2.1282,4,20,2021,Real Time
Fireball Island: The Curse of Vul-Kar,6.75908,1.466,4,60,2018,Roll & Move
Cartographers,7.61314,1.8795,100,45,2019,Roll & Write
Rolling Realms,7.15433,1.9318,6,30,2021,Roll & Write
Welcome To...,7.54045,1.8351,100,25,2018,Roll & Write
Hanamikoji,7.48343,1.6766,2,15,2013,Split & Choose
Alien Artifacts,6.55537,2.9242,5,60,2017,Tableau Builder
Call to Adventure: Epic Origins,7.64786,2.4286,4,60,2022,Tableau Builder
In the Hall of the Mountain King,7.61483,2.8372,5,90,2019,Tableau Builder
Dr. McNinja's Legendary Showdown,6.34706,1.7778,7,30,2014,Take That
Dungeon Dice,6.73326,2.1364,5,20,2013,Take That
Pirate Loot: Base Set,6.13639,2.0,4,60,2015,Take That
The Red Dragon Inn,6.55345,1.6598,4,45,2015,Take That
Overboss: A Boss Monster Adventure,7.34702,2.0227,5,30,2021,Tile Placement
Sorcerer City,7.4003,2.2333,6,60,2020,Tile Placement
Cloudspire,8.18991,4.3787,4,180,2019,Tower Defence
A.E.G.I.S.: Combining Robot Strategy Game,7.52308,2.125,6,120,2018,War Game
Hoplomachus: Victorum,8.46415,3.4861,1,90,2023,War Game
Tail Feathers,7.03606,3.1111,4,90,2015,War Game
Argent: The Consortium,7.63245,3.7824,5,150,2015,Worker Placement
Champions of Midgard,7.72503,2.6111,4,90,2015,Worker Placement
Code of Nine,6.36513,2.3333,4,40,2012,Worker Placement
Dungeon Lords,7.35886,3.5678,4,90,2009,Worker Placement
Ex Libris,7.13656,2.5429,4,45,2017,Worker Placement
Flamecraft,7.45678,2.1873,5,60,2022,Worker Placement
Mint Works,6.91739,1.7126,4,20,2017,Worker Placement
Perseverance: Castaway Chronicles – Episodes 1 & 2,7.7295,4.2605,4,180,2022,Worker Placement
Pigment,6.11621,1.75,3,20,2017,Worker Placement
Reavers of Midgard,7.36814,2.9167,4,120,2019,Worker Placement
Tidal Blades: Heroes of the Reef,7.51293,2.8947,4,90,2020,Worker Placement
Trickerion: Legends of Illusion,7.97515,4.2507,4,180,2015,Worker Placement
